epoch,train_loss,train_acc,train_top3,val_loss,val_acc,val_top3
1,2.1294,0.2526,0.4656,1.3100,0.6536,0.9169
2,1.7560,0.4542,0.6240,1.0626,0.7516,0.9615
3,1.6059,0.5285,0.7017,0.9963,0.8013,0.9744
4,1.4659,0.5942,0.7187,0.9091,0.8273,0.9790
5,1.4208,0.6085,0.7251,0.8466,0.8599,0.9853
6,1.3782,0.6277,0.7485,0.8574,0.8623,0.9866
7,1.3289,0.6505,0.7464,0.8279,0.8675,0.9891
8,1.3099,0.6586,0.7677,0.7634,0.8823,0.9903
9,1.3211,0.6490,0.7634,0.8052,0.8878,0.9904
10,1.2981,0.6602,0.7818,0.8165,0.8912,0.9891
11,1.2767,0.6697,0.7634,0.7850,0.8967,0.9907
12,1.2776,0.6705,0.7763,0.7620,0.8956,0.9919
13,1.2468,0.6826,0.7842,0.7757,0.8912,0.9890
14,1.2489,0.6784,0.7799,0.7503,0.9000,0.9915
15,1.2299,0.6874,0.7990,0.7755,0.8904,0.9911
16,1.2631,0.6746,0.7839,0.7738,0.9011,0.9905
17,1.2226,0.6877,0.8062,0.7543,0.8991,0.9935
18,1.1823,0.7058,0.7822,0.7201,0.9092,0.9935
19,1.2024,0.6977,0.8036,0.7558,0.9044,0.9920
20,1.1900,0.7011,0.8013,0.7492,0.9123,0.9926
21,1.2069,0.6948,0.8175,0.7775,0.9109,0.9936
22,1.1798,0.7070,0.7852,0.7127,0.9128,0.9928
23,1.1857,0.7043,0.8015,0.7147,0.9166,0.9949
24,1.1879,0.6990,0.7804,0.7202,0.9121,0.9935
25,1.1893,0.7005,0.8015,0.7604,0.9141,0.9934
26,1.1615,0.7125,0.7936,0.7186,0.9172,0.9934
27,1.1659,0.7123,0.8081,0.7481,0.9110,0.9935
28,1.1764,0.7046,0.8047,0.7273,0.9174,0.9941
29,1.1491,0.7181,0.8226,0.7215,0.9167,0.9941
30,1.1612,0.7122,0.8105,0.7501,0.9086,0.9900
31,1.1376,0.7223,0.8205,0.6832,0.9210,0.9945
32,1.1443,0.7156,0.7984,0.6992,0.9217,0.9939
33,1.1217,0.7276,0.8205,0.7057,0.9231,0.9938
34,1.1498,0.7135,0.8355,0.7045,0.9253,0.9946
35,1.1398,0.7205,0.8147,0.7666,0.9045,0.9827
36,1.1289,0.7213,0.8209,0.6859,0.9247,0.9950
37,1.1384,0.7173,0.8366,0.7244,0.9241,0.9946
38,1.1387,0.7195,0.8242,0.7119,0.9240,0.9946
39,1.0958,0.7410,0.8173,0.7203,0.9157,0.9922
